Dataset S1A. Results for the 484 differentially expressed genes (DEGs) between all control and heated corals regardless of population. FoldChange is calculated as the ratio of Heated/Control expression. Full annotation information can be found in the full supporting annotationfile at http://palumbilab.stanford.edu/data.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ourcontigname,topnrMatch,topnrEvalue,Uniprotmatch,evalue,Uniprot Description,HGNC_Name,foldChange,p-value,q-value
contig170347_172743,predicted protein [Nematostella vectensis] gi|156220403|gb|EDO41272.1| predicted protein [Nematostella vectensis],6.15E-54,O42574,5.00E-23,Beta-1 adrenergic receptor,No_HGNC_match,-2.79,2.10E-03,4.56E-02
contig154098_216400_151636,hypothetical protein BBAL3_1222 [Brevundimonas sp. BAL3] gi|196185089|gb|EDX80065.1| hypothetical protein BBAL3_1222 [Brevundimonas sp. BAL3],8.19E-21,B4WAQ1,9.00E-21,Putative uncharacterized protein,No_HGNC_match,-2.81,7.83E-05,3.96E-03
contig176014,predicted protein [Nematostella vectensis] gi|156216483|gb|EDO37419.1| predicted protein [Nematostella vectensis],3.81E-31,Q761X5,6.00E-12,Netrin receptor UNC5C,No_HGNC_match,-2.81,1.84E-03,4.17E-02
contig79613_159385,hypothetical protein A044-C2 [Acropora millepora],1.49E-63,Q68US5,7.00E-07,Uncharacterized protein C21orf63 homolog,No_HGNC_match,-2.82,2.09E-03,4.55E-02
contig150904_59369,predicted protein [Nematostella vectensis] gi|156218019|gb|EDO38924.1| predicted protein [Nematostella vectensis],7.46E-42,C3YEC9,3.00E-11,Putative uncharacterized protein,No_HGNC_match,-2.82,2.29E-04,9.10E-03
contig216658,predicted protein [Nematostella vectensis] gi|156213612|gb|EDO34625.1| predicted protein [Nematostella vectensis],2.38E-43,C3ZCF4,3.00E-05,Putative uncharacterized protein,No_HGNC_match,-2.85,2.26E-03,4.84E-02
contig152837,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.85,1.20E-03,3.18E-02
contig115860_4992_195722_171755,predicted protein [Nematostella vectensis] gi|156224511|gb|EDO45336.1| predicted protein [Nematostella vectensis],3.31E-144,Q4V890,3.00E-47,Protein fem-1 homolog A,No_HGNC_match,-2.87,1.93E-03,4.32E-02
contig72992,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.88,8.94E-04,2.56E-02
contig56921,"PREDICTED: similar to viral A-type inclusion protein, partial [Hydra magnipapillata]",2.92E-79,P46013,3.00E-18,Antigen KI-67,antigen identified by monoclonal antibody Ki-67,-2.90,8.88E-04,2.55E-02
contig16687_106141,PREDICTED: similar to predicted protein [Hydra magnipapillata],5.65E-47,Q3UZD5,1.00E-39,Putative histone-lysine N-methyltransferase PRDM6,No_HGNC_match,-2.90,1.69E-03,3.96E-02
contig82818,hypothetical protein BRAFLDRAFT_93332 [Branchiostoma floridae] gi|229288583|gb|EEN59276.1| hypothetical protein BRAFLDRAFT_93332 [Branchiostoma floridae],2.11E-22,C3YKB5,2.00E-22,Putative uncharacterized protein,No_HGNC_match,-2.93,1.63E-03,3.87E-02
contig147290,PREDICTED: chromosome-associated kinesin KIF4A [Apis mellifera],6.47E-08,O95239,3.00E-07,Chromosome-associated kinesin KIF4A,kinesin family member 4A,-2.93,1.97E-03,4.38E-02
contig600067,PREDICTED: v-myb myeloblastosis viral oncogene homolog (avian)-like [Saccoglossus kowalevskii],9.99E-39,P10244,1.00E-23,Myb-related protein B,v-myb myeloblastosis viral oncogene homolog (avian)-like 2,-2.95,8.86E-04,2.55E-02
contig147693_16393_177576_174637,PREDICTED: BEL12_AG transposon polyprotein-like [Saccoglossus kowalevskii],3.97E-129,Q9TTC1,3.00E-05,Pro-Pol polyprotein,No_HGNC_match,-2.95,3.04E-04,1.13E-02
contig147721,hypothetical protein NEMVEDRAFT_v1g60452 [Nematostella vectensis] gi|156206997|gb|EDO29152.1| predicted protein [Nematostella vectensis],4.09E-83,A6UVR4,2.00E-10,L-tyrosine decarboxylase,No_HGNC_match,-2.97,1.48E-03,3.60E-02
contig65606_193634,predicted protein [Nematostella vectensis] gi|156221609|gb|EDO42462.1| predicted protein [Nematostella vectensis],1.95E-149,O75746,8.00E-107,Calcium-binding mitochondrial carrier protein Aralar1,"solute carrier family 25 (aspartate/glutamate carrier), member 12",-2.99,3.28E-05,2.00E-03
contig5637_13719,predicted protein [Nematostella vectensis] gi|156215477|gb|EDO36436.1| predicted protein [Nematostella vectensis],1.95E-88,Q1PSW8,2.00E-32,Tripartite motif-containing protein 71,No_HGNC_match,-3.04,1.17E-03,3.11E-02
contig96499,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],4.10E-76,A6NFN9,9.00E-56,Protein ANKUB1,ankyrin repeat and ubiquitin domain containing 1,-3.06,2.07E-03,4.54E-02
contig146559_191353,predicted protein [Nematostella vectensis] gi|156223980|gb|EDO44810.1| predicted protein [Nematostella vectensis],0,Q6TMK4,3.00E-79,Peroxinectin A,No_HGNC_match,-3.11,2.07E-05,1.38E-03
contig74622,PREDICTED: LOW QUALITY PROTEIN: type I iodothyronine deiodinase-like [Ailuropoda melanoleuca],3.63E-20,P49895,1.00E-20,Type I iodothyronine deiodinase,"deiodinase, iodothyronine, type I",-3.16,2.92E-04,1.10E-02
contig55047,PREDICTED: similar to nematocyst outer wall antigen [Hydra magnipapillata],5.53E-13,B2KTD3,2.00E-05,Nematocyst outer wall antigen,No_HGNC_match,-3.16,7.51E-05,3.90E-03
contig173452,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],4.10E-76,A6NFN9,9.00E-56,Protein ANKUB1,ankyrin repeat and ubiquitin domain containing 1,-3.18,1.47E-03,3.59E-02
contig179428,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-3.19,7.80E-04,2.33E-02
contig150119,predicted protein [Nematostella vectensis] gi|156212209|gb|EDO33278.1| predicted protein [Nematostella vectensis],2.92E-58,Q04609,2.00E-44,Glutamate carboxypeptidase 2,folate hydrolase (prostate-specific membrane antigen) 1,-3.20,2.69E-04,1.03E-02
contig112809_149298_131394_104581_171125,predicted protein [Nematostella vectensis] gi|156225519|gb|EDO46336.1| predicted protein [Nematostella vectensis],4.33E-84,P70627,3.00E-63,Glutamate carboxypeptidase 2,No_HGNC_match,-3.21,6.38E-05,3.44E-03
contig146975,predicted protein [Nematostella vectensis] gi|156215153|gb|EDO36120.1| predicted protein [Nematostella vectensis],2.80E-59,O55005,1.00E-22,Roundabout homolog 1,No_HGNC_match,-3.22,3.20E-04,1.18E-02
contig113128,myosin [Salpingoeca sp. ATCC 50818],4.54E-09,Q8BI17,1.00E-06,SH2 domain-containing protein 7,No_HGNC_match,-3.23,1.97E-03,4.38E-02
contig204494,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-3.25,1.89E-04,7.84E-03
contig78998,predicted protein [Nematostella vectensis] gi|156212175|gb|EDO33245.1| predicted protein [Nematostella vectensis],4.52E-74,P18754,1.00E-49,Regulator of chromosome condensation,regulator of chromosome condensation 1,-3.27,1.87E-03,4.21E-02
contig177247,predicted protein [Nematostella vectensis] gi|156226966|gb|EDO47772.1| predicted protein [Nematostella vectensis],1.53E-38,Q4LDE5,9.00E-32,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",-3.28,1.62E-04,7.08E-03
contig150387,hypothetical protein LOC100158387 [Xenopus laevis] gi|115528808|gb|AAI24958.1| LOC100158387 protein [Xenopus laevis],1.90E-09,Q5ZIJ9,4.00E-10,E3 ubiquitin-protein ligase MIB2,No_HGNC_match,-3.29,2.25E-04,8.99E-03
contig207943,predicted protein [Nematostella vectensis] gi|156219045|gb|EDO39933.1| predicted protein [Nematostella vectensis],1.98E-20,C3XVV0,1.00E-08,Putative uncharacterized protein,No_HGNC_match,-3.31,1.69E-03,3.96E-02
contig151370_147712,"PREDICTED: hephaestin-like protein 1-like, partial [Xenopus (Silurana) tropicalis]",2.84E-148,Q9Z0Z4,3.00E-142,Hephaestin,No_HGNC_match,-3.31,4.70E-05,2.68E-03
contig146582,PREDICTED: hypothetical protein LOC100493088 [Xenopus (Silurana) tropicalis],1.07E-26,Q6IMM9,4.00E-15,Putative gag protein,No_HGNC_match,-3.34,6.91E-05,3.68E-03
contig93732,PREDICTED: similar to Arylsulfatase B precursor (ASB) (N-acetylgalactosamine-4-sulfatase) (G4S) [Ornithorhynchus anatinus],4.63E-30,P50430,2.00E-31,Arylsulfatase B,No_HGNC_match,-3.34,1.69E-03,3.96E-02
contig74709_19182,PREDICTED: predicted protein-like [Saccoglossus kowalevskii],1.57E-67,Q4VSN1,8.00E-60,Dual serine/threonine and tyrosine protein kinase,No_HGNC_match,-3.38,7.63E-05,3.90E-03
contig153708,predicted protein [Nematostella vectensis] gi|156224832|gb|EDO45655.1| predicted protein [Nematostella vectensis],8.51E-109,P10696,5.00E-89,"Alkaline phosphatase, placental-like","alkaline phosphatase, placental-like 2",-3.39,1.43E-05,1.03E-03
contig12336_105256,achaete-scute complex protein 1 [Nematostella vectensis],1.97E-38,Q06234,5.00E-16,Achaete-scute homolog 1,No_HGNC_match,-3.40,1.08E-04,5.15E-03
contig65005,hypothetical protein BRAFLDRAFT_123398 [Branchiostoma floridae] gi|229283703|gb|EEN54442.1| hypothetical protein BRAFLDRAFT_123398 [Branchiostoma floridae],2.65E-61,Q6BEB4,1.00E-56,Transcription factor Sp5,Sp5 transcription factor,-3.42,1.26E-05,9.25E-04
contig26235_203593,predicted protein [Nematostella vectensis] gi|156228317|gb|EDO49116.1| predicted protein [Nematostella vectensis],2.35E-96,Q68EA5,3.00E-53,Zinc finger protein 57,zinc finger protein 57,-3.43,4.76E-04,1.64E-02
contig146323_179117,solute carrier family 7 member 9 transcript variant 2 [Sus scrofa],2.56E-42,Q9QXA6,1.00E-31,"B(0,+)-type amino acid transporter 1",No_HGNC_match,-3.44,5.34E-04,1.79E-02
contig182344_209692_156646,PREDICTED: protein Wnt-7b [Callithrix jacchus],2.00E-82,P28047,2.00E-83,Protein Wnt-7b,No_HGNC_match,-3.44,1.44E-03,3.55E-02
contig144019_111820,predicted protein [Nematostella vectensis] gi|156217734|gb|EDO38645.1| predicted protein [Nematostella vectensis],0,Q54JR2,4.00E-93,ABC transporter C family member 3,No_HGNC_match,-3.44,7.27E-04,2.23E-02
contig151589,phosphatidylserine decarboxylase-related [Desulfovibrio salexigens DSM 2638] gi|242121470|gb|ACS79166.1| phosphatidylserine decarboxylase-related [Desulfovibrio salexigens DSM 2638],9.89E-57,O14111,3.00E-15,C2 domain-containing protein C31G5.15,No_HGNC_match,-3.47,7.71E-05,3.92E-03
contig151441,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-3.47,1.47E-03,3.59E-02
contig6552_73732_158542,predicted protein [Nematostella vectensis] gi|156214689|gb|EDO35669.1| predicted protein [Nematostella vectensis],8.02E-78,Q01101,4.00E-49,Insulinoma-associated protein 1,insulinoma-associated 1,-3.50,5.33E-04,1.79E-02
contig170478,predicted protein [Nematostella vectensis] gi|156222444|gb|EDO43288.1| predicted protein [Nematostella vectensis],7.55E-78,Q7DFU6,2.00E-17,Putative uncharacterized protein yghX,No_HGNC_match,-3.57,2.68E-04,1.03E-02
contig148396,predicted protein [Nematostella vectensis] gi|156221266|gb|EDO42123.1| predicted protein [Nematostella vectensis],2.22E-46,Q86YT5,3.00E-38,Solute carrier family 13 member 5,"solute carrier family 13 (sodium-dependent citrate transporter), member 5",-3.65,1.49E-04,6.66E-03
contig78105_108948_169460,hypothetical protein DAPPUDRAFT_329129 [Daphnia pulex],6.93E-29,Q9V5N8,1.00E-26,Protocadherin-like wing polarity protein stan,No_HGNC_match,-3.67,7.99E-06,6.12E-04
contig204720,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-3.69,7.12E-04,2.20E-02
contig148854,predicted protein [Nematostella vectensis] gi|156218638|gb|EDO39532.1| predicted protein [Nematostella vectensis],6.71E-85,B9XJ06,1.00E-27,Putative uncharacterized protein,No_HGNC_match,-3.69,6.98E-08,1.28E-05
contig176554,predicted protein [Nematostella vectensis] gi|156212480|gb|EDO33537.1| predicted protein [Nematostella vectensis],9.59E-20,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-3.70,2.26E-03,4.84E-02
contig71834,predicted protein [Nematostella vectensis] gi|156222856|gb|EDO43696.1| predicted protein [Nematostella vectensis],1.33E-121,P22758,1.00E-87,Protein-glutamine gamma-glutamyltransferase K,No_HGNC_match,-3.73,1.07E-03,2.90E-02
contig97794_175986_93895,predicted protein [Nematostella vectensis] gi|156214076|gb|EDO35074.1| predicted protein [Nematostella vectensis],7.40E-42,Q3SA49,2.00E-14,T-box transcription factor TBX1,No_HGNC_match,-3.77,2.21E-06,2.10E-04
contig105632_159216,hypothetical protein BRAFLDRAFT_84639 [Branchiostoma floridae] gi|229277425|gb|EEN48221.1| hypothetical protein BRAFLDRAFT_84639 [Branchiostoma floridae],6.40E-103,Q12719,5.00E-42,Laccase-4,No_HGNC_match,-3.81,2.97E-05,1.85E-03
contig70329_204894_180464,Rho GTPase activating protein 1 [Xenopus laevis] gi|27881715|gb|AAH44312.1| Rhogap68f-prov protein [Xenopus laevis],9.06E-09,Q07960,5.00E-08,Rho GTPase-activating protein 1,Rho GTPase activating protein 1,-3.81,1.40E-03,3.50E-02
contig203476_78150,predicted protein [Nematostella vectensis] gi|156227994|gb|EDO48795.1| predicted protein [Nematostella vectensis],1.20E-23,P18444,5.00E-17,N-myc proto-oncogene protein,No_HGNC_match,-3.85,1.89E-04,7.84E-03
contig110017,hypothetical protein BRAFLDRAFT_259927 [Branchiostoma floridae] gi|229280790|gb|EEN51555.1| hypothetical protein BRAFLDRAFT_259927 [Branchiostoma floridae],8.33E-07,C3Z6V9,9.00E-07,Putative uncharacterized protein,No_HGNC_match,-3.92,4.11E-04,1.48E-02
contig74942,hypothetical protein [Acropora millepora],9.15E-145,Q58A42,4.00E-21,Protein DD3-3,No_HGNC_match,-3.97,1.11E-06,1.23E-04
contig153398,predicted protein [Nematostella vectensis] gi|156216855|gb|EDO37783.1| predicted protein [Nematostella vectensis],2.07E-166,O14874,2.00E-108,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",branched chain ketoacid dehydrogenase kinase,-4.00,1.20E-03,3.18E-02
contig9516,predicted protein [Nematostella vectensis] gi|156217483|gb|EDO38398.1| predicted protein [Nematostella vectensis],2.46E-115,Q5VXJ0,2.00E-88,Lipase member K,"lipase, family member K",-4.10,4.64E-04,1.61E-02
contig171806,"PREDICTED: solute carrier family 25, member 27-like [Saccoglossus kowalevskii]",1.80E-49,B0G143,1.00E-33,Mitochondrial substrate carrier family protein ucpB,No_HGNC_match,-4.11,1.93E-03,4.32E-02
contig66659,predicted protein [Nematostella vectensis] gi|156212698|gb|EDO33746.1| predicted protein [Nematostella vectensis],5.07E-153,P32297,3.00E-89,Neuronal acetylcholine receptor subunit alpha-3,"cholinergic receptor, nicotinic, alpha 3 (neuronal)",-4.16,1.31E-03,3.35E-02
contig185892,hypothetical protein NEMVEDRAFT_v1g142064 [Nematostella vectensis] gi|156208689|gb|EDO30120.1| predicted protein [Nematostella vectensis],7.19E-63,A4IGL7,1.00E-45,Peroxidasin,No_HGNC_match,-4.17,2.55E-04,9.90E-03
contig180227,predicted protein [Nematostella vectensis] gi|156226966|gb|EDO47772.1| predicted protein [Nematostella vectensis],1.53E-38,Q4LDE5,9.00E-32,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",-4.17,6.00E-04,1.96E-02
contig168744_218437,PREDICTED: forkhead box L2 [Taeniopygia guttata],9.77E-26,O88470,8.00E-27,Forkhead box protein L2,No_HGNC_match,-4.17,7.06E-07,8.39E-05
contig180209,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-4.18,7.64E-04,2.31E-02
contig72788,predicted protein [Nematostella vectensis] gi|156213237|gb|EDO34264.1| predicted protein [Nematostella vectensis],5.73E-45,Q8TE60,2.00E-40,A disintegrin and metalloproteinase with thrombospondin motifs 18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18",-4.21,8.03E-07,9.16E-05
contig208870,PREDICTED: Glutamate [NMDA] receptor subunit epsilon-2-like [Saccoglossus kowalevskii],1.04E-05,Q90WA0,2.00E-06,Protease inhibitor textilinin-2,No_HGNC_match,-4.22,1.06E-03,2.89E-02
contig151304,predicted protein [Nematostella vectensis] gi|156222429|gb|EDO43273.1| predicted protein [Nematostella vectensis],3.89E-94,A7HHN1,2.00E-76,Urease subunit alpha,No_HGNC_match,-4.24,2.16E-06,2.08E-04
contig203791,predicted protein [Nematostella vectensis] gi|156217953|gb|EDO38860.1| predicted protein [Nematostella vectensis],4.80E-42,Q3B5G3,8.00E-11,"Amino acid ABC transporter substrate-binding protein, PAAT family",No_HGNC_match,-4.32,2.25E-04,8.99E-03
contig69293,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-4.35,9.80E-04,2.73E-02
contig105949,predicted protein [Nematostella vectensis] gi|156226831|gb|EDO47638.1| predicted protein [Nematostella vectensis],1.10E-101,Q9UBG0,3.00E-14,C-type mannose receptor 2,"mannose receptor, C type 2",-4.35,1.05E-03,2.88E-02
contig207914,predicted protein [Nematostella vectensis] gi|156215920|gb|EDO36868.1| predicted protein [Nematostella vectensis],2.29E-53,A6QQP7,9.00E-46,Dysferlin,No_HGNC_match,-4.45,2.18E-05,1.43E-03
contig148478,hypothetical protein [Acropora millepora],0,Q58A42,1.00E-70,Protein DD3-3,No_HGNC_match,-4.47,7.20E-10,2.38E-07
contig188795,hypothetical protein A030-E11 [Acropora millepora],2.21E-55,Q92051,1.00E-19,Carbonic anhydrase,No_HGNC_match,-4.48,1.25E-04,5.82E-03
contig76620_96728,predicted protein [Nematostella vectensis] gi|156213167|gb|EDO34196.1| predicted protein [Nematostella vectensis],9.04E-28,Q3U0J8,1.00E-24,TBC1 domain family member 2B,No_HGNC_match,-4.49,1.45E-03,3.57E-02
contig149436,PREDICTED: similar to myoferlin [Hydra magnipapillata],1.67E-90,O75923,3.00E-88,Dysferlin,"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)",-4.51,1.28E-03,3.29E-02
contig169207,hypothetical protein BRAFLDRAFT_267120 [Branchiostoma floridae] gi|229286565|gb|EEN57284.1| hypothetical protein BRAFLDRAFT_267120 [Branchiostoma floridae],9.05E-22,Q6IRB2,2.00E-20,Transcription factor HES-1-A,No_HGNC_match,-4.53,1.13E-04,5.31E-03
contig80700,HLXb-ANTP class homeobox protein [Nematostella vectensis] gi|110339067|gb|ABG67797.1| HLXC [Nematostella vectensis],7.33E-22,A0JPN1,4.00E-18,H2.0-like homeobox protein,No_HGNC_match,-4.54,3.50E-05,2.12E-03
contig216115,PREDICTED: similar to follistatin-like 5 [Ciona intestinalis],2.14E-09,Q8BFR2,6.00E-06,Follistatin-related protein 5,No_HGNC_match,-4.57,8.43E-05,4.22E-03
contig24655_189447_112899,predicted protein [Nematostella vectensis] gi|156223029|gb|EDO43868.1| predicted protein [Nematostella vectensis],1.82E-144,Q8N0W4,5.00E-73,"Neuroligin-4, X-linked","neuroligin 4, X-linked",-4.62,4.29E-05,2.52E-03
contig72119,lens major intrinsic protein [Fundulus heteroclitus],1.06E-18,Q6J8I9,1.00E-17,Lens fiber major intrinsic protein,No_HGNC_match,-4.65,6.64E-06,5.33E-04
contig190695,predicted protein [Nematostella vectensis] gi|156226534|gb|EDO47343.1| predicted protein [Nematostella vectensis],1.15E-12,Q6RI86,6.00E-07,Transient receptor potential cation channel subfamily A member 1,No_HGNC_match,-4.69,7.20E-04,2.21E-02
contig180069_202390_155736,PREDICTED: LOW QUALITY PROTEIN: type I iodothyronine deiodinase-like [Ailuropoda melanoleuca],5.49E-43,Q95N00,2.00E-43,Type I iodothyronine deiodinase,No_HGNC_match,-4.80,1.41E-05,1.02E-03
contig147752_80244,predicted protein [Nematostella vectensis] gi|156220923|gb|EDO41785.1| predicted protein [Nematostella vectensis],0,O89023,1.00E-152,Tripeptidyl-peptidase 1,No_HGNC_match,-4.82,4.22E-05,2.49E-03
contig151210,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-4.88,3.53E-07,4.72E-05
contig73924,predicted protein [Nematostella vectensis] gi|156226374|gb|EDO47184.1| predicted protein [Nematostella vectensis],1.08E-26,Q8N6G6,4.00E-22,ADAMTS-like protein 1,ADAMTS-like 1,-4.95,1.96E-08,3.94E-06
contig65069,predicted protein [Nematostella vectensis] gi|156222419|gb|EDO43263.1| predicted protein [Nematostella vectensis],1.97E-31,P35428,1.00E-21,Transcription factor HES-1,No_HGNC_match,-4.96,2.11E-06,2.04E-04
contig169892,predicted protein [Nematostella vectensis] gi|156224793|gb|EDO45616.1| predicted protein [Nematostella vectensis],5.43E-39,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.01,7.32E-05,3.81E-03
contig182921,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.08,2.08E-03,4.55E-02
contig149835,predicted protein [Nematostella vectensis] gi|156217184|gb|EDO38106.1| predicted protein [Nematostella vectensis],8.51E-158,P95544,2.00E-137,NAD(P)-specific glutamate dehydrogenase,No_HGNC_match,-5.09,8.29E-08,1.46E-05
contig182805,predicted protein [Nematostella vectensis] gi|156226572|gb|EDO47381.1| predicted protein [Nematostella vectensis],2.84E-11,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.14,1.28E-03,3.29E-02
contig217126,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.17,2.68E-06,2.47E-04
contig110172,PREDICTED: Ras-like without CAAX 1-like [Saccoglossus kowalevskii],1.49E-72,Q92963,8.00E-64,GTP-binding protein Rit1,Ras-like without CAAX 1,-5.26,2.84E-04,1.08E-02
contig217137,"PREDICTED: regulator of nonsense transcripts 1-like, partial [Saccoglossus kowalevskii]",6.50E-104,Q9EPU0,2.00E-103,Regulator of nonsense transcripts 1,No_HGNC_match,-5.31,7.36E-04,2.25E-02
contig151257,hypothetical protein NEMVEDRAFT_v1g248647 [Nematostella vectensis] gi|156207916|gb|EDO29609.1| predicted protein [Nematostella vectensis],2.15E-74,P70490,2.00E-44,Lactadherin,No_HGNC_match,-5.34,4.78E-06,4.03E-04
contig150762,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.35,1.67E-08,3.65E-06
contig169222,PREDICTED: transient receptor potential cation channel subfamily A member 1-like [Anolis carolinensis],1.10E-22,Q6RI86,1.00E-20,Transient receptor potential cation channel subfamily A member 1,No_HGNC_match,-5.37,3.30E-08,6.39E-06
contig66224,"PREDICTED: similar to solute carrier family 36 member 1, partial [Hydra magnipapillata]",3.70E-10,Q8CH36,8.00E-10,Proton-coupled amino acid transporter 4,No_HGNC_match,-5.38,1.65E-05,1.16E-03
contig20560_75497_77159_157449_153078_2686_1982_70929_195032_146807_138143,predicted protein [Nematostella vectensis] gi|156215962|gb|EDO36909.1| predicted protein [Nematostella vectensis],7.94E-54,Q9UGM3,9.00E-48,Deleted in malignant brain tumors 1 protein,deleted in malignant brain tumors 1,-5.38,4.23E-11,2.28E-08
contig208333,PREDICTED: mind bomb 2-like [Saccoglossus kowalevskii],4.92E-50,Q5YU15,3.00E-07,UPF0353 protein NFA_34780,No_HGNC_match,-5.41,1.93E-05,1.30E-03
contig175529,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.46,6.82E-06,5.42E-04
contig169136,galaxin precursor - reef coral gi|26106077|dbj|BAC41519.1| galaxin [Galaxea fascicularis],2.21E-41,P60413,2.00E-07,Keratin-associated protein 10-12,keratin associated protein 10-12,-5.48,2.01E-11,1.21E-08
contig74750,predicted protein [Nematostella vectensis] gi|156211562|gb|EDO32663.1| predicted protein [Nematostella vectensis],2.33E-13,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.49,7.03E-10,2.38E-07
contig76404,predicted protein [Nematostella vectensis] gi|156215928|gb|EDO36876.1| predicted protein [Nematostella vectensis],6.27E-16,Q91770,4.00E-15,Homeobox protein not2,No_HGNC_match,-5.52,6.31E-06,5.14E-04
contig151394,predicted protein [Nematostella vectensis] gi|156228894|gb|EDO49691.1| predicted protein [Nematostella vectensis],3.21E-175,Q9BXS9,4.00E-112,Solute carrier family 26 member 6,"solute carrier family 26, member 6",-5.64,4.86E-06,4.06E-04
contig8602_188720,hypothetical protein TRIADDRAFT_53677 [Trichoplax adhaerens] gi|190587666|gb|EDV27708.1| hypothetical protein TRIADDRAFT_53677 [Trichoplax adhaerens],0,Q8K448,7.00E-135,ATP-binding cassette sub-family A member 5,No_HGNC_match,-5.65,1.91E-03,4.30E-02
contig209762,predicted protein [Nematostella vectensis] gi|156226428|gb|EDO47238.1| predicted protein [Nematostella vectensis],6.78E-160,Q28DV7,2.00E-138,Mini-chromosome maintenance complex-binding protein,No_HGNC_match,-5.67,3.52E-05,2.13E-03
contig73407_16909,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.70,2.19E-05,1.43E-03
contig107336,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-5.71,1.30E-03,3.33E-02
contig151254_131525,Dynamin central region family protein [Trichomonas vaginalis G3] gi|121913826|gb|EAY18631.1| Dynamin central region family protein [Trichomonas vaginalis G3],1.14E-16,P27619,2.00E-12,Dynamin,No_HGNC_match,-6.10,3.55E-09,9.34E-07
contig152963,predicted protein [Nematostella vectensis] gi|156221761|gb|EDO42612.1| predicted protein [Nematostella vectensis],9.50E-37,Q6DK93,4.00E-16,Cornifelin homolog,No_HGNC_match,-6.16,1.31E-06,1.39E-04
contig209037,PREDICTED: a disintegrin and metalloproteinase with thrombospondin motifs 7-like [Macaca mulatta],6.78E-75,Q9UKP5,2.00E-73,A disintegrin and metalloproteinase with thrombospondin motifs 6,"ADAM metallopeptidase with thrombospondin type 1 motif, 6",-6.34,8.15E-10,2.62E-07
contig153061_153536,predicted protein [Nematostella vectensis] gi|156224832|gb|EDO45655.1| predicted protein [Nematostella vectensis],5.34E-140,P09487,4.00E-114,"Alkaline phosphatase, tissue-nonspecific isozyme",No_HGNC_match,-6.36,1.66E-06,1.66E-04
contig175549,predicted protein [Nematostella vectensis] gi|156226966|gb|EDO47772.1| predicted protein [Nematostella vectensis],3.45E-38,Q4LDE5,8.00E-36,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",-6.48,1.78E-11,1.14E-08
contig147867,predicted protein [Nematostella vectensis] gi|156228695|gb|EDO49493.1| predicted protein [Nematostella vectensis],1.44E-77,Q9TV36,2.00E-25,Fibrillin-1,No_HGNC_match,-6.49,4.03E-07,5.23E-05
contig98199,predicted protein [Nematostella vectensis] gi|156217967|gb|EDO38873.1| predicted protein [Nematostella vectensis],1.53E-49,Q12933,6.00E-45,TNF receptor-associated factor 2,TNF receptor-associated factor 2,-6.52,2.88E-06,2.60E-04
