Ourcontigname,AnnoOrigin,ContigName,ContigLength,topnrMatch,topnrEvalue,nobadwordnrMatch,nobadwordnrEvalue,Uniprotmatch,X._identity,evalue,ID,Description,KEGG,KEGGKO,GO,GOCC,GOBP,GOMF,Keywords,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14
contig179493_205616,adi_v1_predictedtranscripts,adi_v1.01249,1938,predicted protein [Nematostella vectensis] gi|156217207|gb|EDO38128.1| predicted protein [Nematostella vectensis],5.14E-48,predicted protein [Nematostella vectensis] gi|156217207|gb|EDO38128.1| predicted protein [Nematostella vectensis],5.14E-48,C3Y0D8,34.58,3.00E-29,C3Y0D8_BRAFL,Putative uncharacterized protein,bfo:BRAFLDRAFT_121517,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig215480_210309_153404,adi_v1_predictedtranscripts,adi_v1.09841,1356,predicted protein [Nematostella vectensis] gi|156217390|gb|EDO38308.1| predicted protein [Nematostella vectensis],2.50E-141,"aldehyde dehydrogenase 16A1 [Xenopus (Silurana) tropicalis] gi|89268096|emb|CAJ82492.1| aldehyde dehydrogenase 16 family, member A1 [Xenopus (Silurana) tropicalis]",2.06E-119,Q8IZ83,40.06,2.00E-58,A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1,hsa:126133,No_KEGGKO,GO:0016620,No_GOBP,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620);",No_GOCC,Acetylation;Alternative splicing;Complete proteome;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig93864_151721,33496_denovo,contig93864_151721,1373,predicted protein [Nematostella vectensis] gi|156211560|gb|EDO32661.1| predicted protein [Nematostella vectensis],2.69E-42,EFHC2 protein [Ciona intestinalis] gi|59803962|gb|AAX08050.1| EFHC2 [Ciona intestinalis],5.64E-24,Q32TF8,67.11,7.00E-21,EFHC2_DANRE,EF-hand domain-containing family member C2,dre:567323,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig15490_179260_212860,adi_v1_predictedtranscripts,adi_v1.14855,3927,hypothetical protein TRIADDRAFT_58893 [Trichoplax adhaerens] gi|190582481|gb|EDV22554.1| hypothetical protein TRIADDRAFT_58893 [Trichoplax adhaerens],0,wdr49 protein [Xenopus (Silurana) tropicalis],2.22E-99,Q5TTP0,24.94,1.00E-60,WDY_ANOGA,WD repeat-containing protein on Y chromosome,aga:AgaP_AGAP002309,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Complete proteome;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig167838_204913,33496_denovo,contig167838_204913,1172,hypothetical protein BRAFLDRAFT_129932 [Branchiostoma floridae] gi|229294241|gb|EEN64897.1| hypothetical protein BRAFLDRAFT_129932 [Branchiostoma floridae],1.22E-61,actin binding protein [Dictyostelium discoideum AX4] gi|60471391|gb|EAL69351.1| actin binding protein [Dictyostelium discoideum AX4],1.41E-09,Q5PR68,23.04,4.00E-09,CE112_MOUSE,Centrosomal protein of 112 kDa,mmu:76380,No_KEGGKO,GO:0005813,No_GOBP,No_GOMF,centrosome (GO:0005813);,Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome.;,,,,,,,,,,,,,,,
contig82648_73889_147561,33496_denovo,contig82648_73889_147561,2336,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],4.02E-74,"mCG11126, isoform CRA_a [Mus musculus]",6.91E-50,Q5RE88,47.74,2.00E-50,WDR66_PONAB,WD repeat-containing protein 66,pon:100171768,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Phosphoprotein;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig108838_117858,33496_denovo,contig108838_117858,426,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],3.46E-17,mediator of RNA polymerase II transcription subunit 14 [Bos taurus],8.83E-13,A2ABV5,44.12,3.00E-14,MED14_MOUSE,Mediator of RNA polymerase II transcription subunit 14,mmu:26896,K15156,GO:0016592,No_GOBP,No_GOMF,mediator complex (GO:0016592);,Activator;Alternative splicing;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
contig48488_152234_208461_80367_135384_24092_79493,33496_denovo,contig48488_152234_208461_80367_135384_24092_79493,3296,predicted protein [Nematostella vectensis] gi|156212048|gb|EDO33125.1| predicted protein [Nematostella vectensis],1.32E-81,epidermal growth factor domain-containing protein [uncultured delta proteobacterium DeepAnt-1F12],1.42E-59,P14543,42.32,1.00E-58,NID1_HUMAN,Nidogen-1,hsa:4811,K06826,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,3D-structure;Alternative splicing;Basement membrane;Calcium;Cell adhesion;Complete proteome;Disulfide bond;EGF-like domain;Extracellular matrix;Glycoprotein;Polymorphism;Reference proteome;Repeat;Secreted;Signal;Sulfation.;,,,,,,,,,,,,,,,
contig212108_25634,adi_v1_predictedtranscripts,adi_v1.11272,5765,predicted protein [Nematostella vectensis] gi|156214229|gb|EDO35223.1| predicted protein [Nematostella vectensis],1.27E-122,mediator of RNA polymerase II transcription subunit 14 [Bos taurus],1.51E-83,A2ABV5,28.49,2.00E-84,MED14_MOUSE,Mediator of RNA polymerase II transcription subunit 14,mmu:26896,K15156,GO:0016592,No_GOBP,No_GOMF,mediator complex (GO:0016592);,Activator;Alternative splicing;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
contig151171_97617,33496_denovo,contig151171_97617,662,predicted protein [Capsaspora owczarzaki ATCC 30864],3.96E-39,"amine oxidoreductase, flavin-containing [Hahella chejuensis KCTC 2396] gi|83632848|gb|ABC28815.1| probable amine oxidoreductase, flavin-containing [Hahella chejuensis KCTC 2396]",8.90E-07,E9C1P1,48.45,4.00E-39,E9C1P1_CAPO3,Predicted protein,No_KEGG,No_KEGGKO,GO:0016491,No_GOBP,oxidoreductase activity (GO:0016491);,No_GOCC,Complete proteome.;,,,,,,,,,,,,,,,
contig150001_148404,33496_denovo,contig150001_148404,1156,predicted protein [Nematostella vectensis] gi|156221039|gb|EDO41899.1| predicted protein [Nematostella vectensis],5.16E-73,DEPDC5 protein [Homo sapiens],2.42E-38,O75140,34.64,1.00E-39,DEPD5_HUMAN,DEP domain-containing protein 5,hsa:9681,No_KEGGKO,GO:0035556,intracellular signal transduction (GO:0035556);,No_GOMF,No_GOCC,Alternative splicing;Complete proteome;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig18444_81315_137549,adi_v1_predictedtranscripts,adi_v1.02463,2048,predicted protein [Nematostella vectensis] gi|156217947|gb|EDO38854.1| predicted protein [Nematostella vectensis],9.06E-67,AGAP003059-PD [Anopheles gambiae str. PEST],3.46E-50,Q9UBI9,43.1,3.00E-51,HDC_HUMAN,Headcase protein homolog,hsa:51696,No_KEGGKO,GO:0030323,respiratory tube development (GO:0030323);,No_GOMF,No_GOCC,Complete proteome;Developmental protein;Phosphoprotein;Reference proteome.;,,,,,,,,,,,,,,,
contig112969_74429,adi_v1_predictedtranscripts,adi_v1.13097,3613,"PREDICTED: transducin beta-like 1Y-like, partial [Saccoglossus kowalevskii]",1.74E-50,GK14017 [Drosophila willistoni] gi|194169317|gb|EDW84218.1| GK14017 [Drosophila willistoni],1.21E-35,Q149M9,31.77,2.00E-27,NWD1_HUMAN,NACHT and WD repeat domain-containing protein 1,hsa:284434,No_KEGGKO,GO:0005524,No_GOBP,ATP binding (GO:0005524);,No_GOCC,Alternative splicing;ATP-binding;Complete proteome;Nucleotide-binding;Polymorphism;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig160313_177213_51903,33496_denovo,contig160313_177213_51903,3316,predicted protein [Nematostella vectensis] gi|156227335|gb|EDO48139.1| predicted protein [Nematostella vectensis],0,"zinc finger SWIM domain-containing protein 5 [Danio rerio] gi|220672817|emb|CAX13859.1| novel protein similar to vertebrate zinc finger, SWIM-type containing 5 (ZSWIM5) [Danio rerio] gi|220673231|emb|CAX12677.1| novel protein similar to vertebrate zinc finger, SWIM-type containing 5 (ZSWIM5) [Danio rerio]",0,Q80TC6,50.94,0,ZSWM5_MOUSE,Zinc finger SWIM domain-containing protein 5,mmu:74464,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Complete proteome;Metal-binding;Reference proteome;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig70335_147769_215942,adi_v1_predictedtranscripts,adi_v1.08289,2830,predicted protein [Nematostella vectensis] gi|156214290|gb|EDO35282.1| predicted protein [Nematostella vectensis],9.63E-09,dentin sialophosphoprotein precursor [Odocoileus virginianus],6.90E-07,Q9P785,23.64,8.00E-06,YNY5_SCHPO,LisH domain-containing protein C1711.05,spo:SPBC1711.05,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Reference proteome.;,,,,,,,,,,,,,,,
contig152573_109288_154842,adi_v1_predictedtranscripts,adi_v1.04472,2046,PREDICTED: similar to GRIP1 associated protein 1 [Strongylocentrotus purpuratus] gi|115934909|ref|XP_001189279.1| PREDICTED: similar to GRIP1 associated protein 1 [Strongylocentrotus purpuratus],2.11E-31,GRIP1 associated protein 1 [Homo sapiens],1.51E-29,Q9JHZ4,30.62,7.00E-31,GRAP1_RAT,GRIP1-associated protein 1,rno:116493,No_KEGGKO,GO:0005769,No_GOBP,No_GOMF,early endosome (GO:0005769);,Alternative splicing;Coiled coil;Complete proteome;Endosome;Phosphoprotein;Reference proteome.;,,,,,,,,,,,,,,,
contig155531_158125,Matz_milleporaESTs,isotig10829,1793,predicted protein [Nematostella vectensis] gi|156226707|gb|EDO47515.1| predicted protein [Nematostella vectensis],4.48E-83,calcium and integrin binding protein CIB [Bombyx mori] gi|87248297|gb|ABD36201.1| calcium and integrin binding protein CIB [Bombyx mori],4.99E-58,Q9Z309,46.81,7.00E-40,CIB2_MOUSE,Calcium and integrin-binding family member 2,mmu:56506,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig213378_12794_109774,33496_denovo,contig213378_12794_109774,1663,predicted protein [Nematostella vectensis] gi|156211224|gb|EDO32344.1| predicted protein [Nematostella vectensis],8.66E-17,"Golgi autoantigen, golgin subfamily a, 7B [Homo sapiens]",8.10E-15,Q9D428,51.28,4.00E-16,GOG7B_MOUSE,Golgin subfamily A member 7B,mmu:71146,No_KEGGKO,GO:0000139,No_GOBP,No_GOMF,Golgi membrane (GO:0000139);,Complete proteome;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Reference proteome.;,,,,,,,,,,,,,,,
contig115925_158606_2585,33496_denovo,contig115925_158606_2585,2231,predicted protein [Nematostella vectensis] gi|156210763|gb|EDO31913.1| predicted protein [Nematostella vectensis],4.82E-61,CCDC46 protein [Homo sapiens],1.51E-38,Q8N8E3,46.81,7.00E-40,CE112_HUMAN,Centrosomal protein of 112 kDa,hsa:201134,No_KEGGKO,GO:0005813,No_GOBP,No_GOMF,centrosome (GO:0005813);,Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Cytoskeleton;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig145408_123825_204703_151677_205090,33496_denovo,contig145408_123825_204703_151677_205090,3002,PREDICTED: tenascin XB-like [Saccoglossus kowalevskii],0,tenascin C [Salpingoeca sp. ATCC 50818],0.054840708,F2U0R8,45.16,0,F2U0R8_SALS5,Putative uncharacterized protein,No_KEGG,No_KEGGKO,GO:0007155,cell adhesion (GO:0007155);,No_GOMF,No_GOCC,No_keywords,,,,,,,,,,,,,,,
contig194536_155503_78018,33496_denovo,contig194536_155503_78018,1603,predicted protein [Nematostella vectensis] gi|156227693|gb|EDO48495.1| predicted protein [Nematostella vectensis],6.31E-25,"conserved oligomeric golgi complex subunit, putative [Ixodes scapularis] gi|215499991|gb|EEC09485.1| conserved oligomeric golgi complex subunit, putative [Ixodes scapularis]",4.39E-10,Q921L5,30.49,8.00E-11,COG2_MOUSE,Conserved oligomeric Golgi complex subunit 2,mmu:76332,No_KEGGKO,GO:0000139,No_GOBP,No_GOMF,Golgi membrane (GO:0000139);,Complete proteome;Golgi apparatus;Membrane;Protein transport;Reference proteome;Transport.;,,,,,,,,,,,,,,,
contig153420_94480_106845_154863,adi_v1_predictedtranscripts,adi_v1.23874,3009,predicted protein [Nematostella vectensis] gi|156223251|gb|EDO44088.1| predicted protein [Nematostella vectensis],4.27E-71,BTB/POZ domain-containing protein 6 [Xenopus (Silurana) tropicalis],3.62E-62,Q2LE78,31.02,2.00E-63,BTBD6_XENLA,BTB/POZ domain-containing protein 6,xla:398279,K10478,GO:0000932,No_GOBP,No_GOMF,cytoplasmic mRNA processing body (GO:0000932);,Cytoplasm.;,,,,,,,,,,,,,,,
contig97839_73568,33496_denovo,contig97839_73568,1756,predicted protein [Nematostella vectensis] gi|156223880|gb|EDO44711.1| predicted protein [Nematostella vectensis],1.30E-119,85 kDa calcium-independent phospholipase A2 [Gallus gallus] gi|186703010|gb|ACC91739.1| PNPLA9 [Gallus gallus],3.10E-105,P97819,33.22,8.00E-76,PA2G6_MOUSE,85 kDa calcium-independent phospholipase A2,mmu:53357,K01047,GO:0016042,lipid catabolic process (GO:0016042);,No_GOMF,No_GOCC,Alternative splicing;ANK repeat;Complete proteome;Cytoplasm;Direct protein sequencing;Hydrolase;Lipid degradation;Phosphoprotein;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig150506_100093,33496_denovo,contig150506_100093,1352,predicted protein [Nematostella vectensis] gi|156228532|gb|EDO49331.1| predicted protein [Nematostella vectensis],8.23E-52,pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 [Bos taurus] gi|182676533|sp|A7YVH9.1|PYRD1_BOVIN RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 gi|157278932|gb|AAI23727.1| PYROXD1 protein [Bos taurus] gi|296487296|gb|DAA29409.1| pyridine nucleotide-disulfide oxidoreductase domain 1 [Bos taurus],1.11E-48,A7YVH9,53.89,5.00E-50,PYRD1_BOVIN,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,bta:505859,No_KEGGKO,GO:0016491,No_GOBP,oxidoreductase activity (GO:0016491);,No_GOCC,Acetylation;Complete proteome;FAD;Flavoprotein;NADP;Oxidoreductase;Reference proteome.;,,,,,,,,,,,,,,,
